#,TRADING CODE,CLOSEP*,HIGH,LOW,YCP*,% CHANGE
1,SPCERAMICS,17.7,17.7,16.2,16.1,9.9379
2,GEMINISEA,159.1,164.8,152.4,150.0,6.0667
3,FUWANGFOOD,16.9,17.1,16.0,16.0,5.625
4,ATCSLGF,6.8,6.8,6.6,6.5,4.6154
5,GHAIL,13.1,13.3,12.3,12.6,3.9683
6,DESHBANDHU,21.7,22.7,20.7,20.9,3.8278
7,ECABLES,111.8,117.9,108.0,107.7,3.8069
8,NPOLYMER,32.9,34.6,31.6,31.7,3.7855
9,DESCO,23.8,24.1,22.7,23.0,3.4783
10,AL-HAJTEX,159.2,162.0,154.7,154.4,3.1088
1,SPCERAMICS,17.7,17.7,16.2,16.1,9.9379
2,GEMINISEA,159.1,164.8,152.4,150.0,6.0667
3,FUWANGFOOD,16.9,17.1,16.0,16.0,5.625
4,ATCSLGF,6.8,6.8,6.6,6.5,4.6154
5,GHAIL,13.1,13.3,12.3,12.6,3.9683
6,DESHBANDHU,21.7,22.7,20.7,20.9,3.8278
7,ECABLES,111.8,117.9,108.0,107.7,3.8069
8,NPOLYMER,32.9,34.6,31.6,31.7,3.7855
9,DESCO,23.8,24.1,22.7,23.0,3.4783
10,AL-HAJTEX,159.2,162.0,154.7,154.4,3.1088
